Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Vanuatu,VUT,..,22.2,52.3,57.8,62.8,61.6,64.5,67.3,70,71.6,61.6,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Venezuela, RB",VEN,..,98.9,100,99.4,99.2,99.9,99.8,99.9,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Viet Nam,VNM,..,88.2,99.3,99.2,100,100,99.4,99.8,100,100,99.8,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Virgin Islands (U.S.),VIR,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,West Bank and Gaza,PSE,..,99.7,99.9,100,99.9,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Yemen, Rep.",YEM,..,49.2,67.4,68.9,79.2,62,72.8,73.9,74.9,76,83.6,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Zambia,ZMB,13.9,16.7,31.1,35.4,40.3,40.2,43,44.6,46.7,47.8,51.1,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Zimbabwe,ZWE,..,33.7,33.7,42.5,44,45.4,46.7,52.7,49,50.1,62,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Africa Eastern and Southern,AFE,..,19.9172563342889,33.9222756622758,38.8595976583714,40.2237441730368,43.0350733507835,44.3908605333639,46.2823709455637,48.1272110400485,48.8012579607658,50.6683304830167,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Africa Western and Central,AFW,..,34.2461158257192,46.8624182524845,51.0451271925992,48.9007280475057,51.3358293517534,51.2915769115352,51.8560428463068,54.368598708444,55.6866829669796,57.0692665803595,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Arab World,ARB,..,80.4586672566828,88.6616431398725,89.1861710572825,90.3510669396465,88.6898406472267,89.9289963083413,90.2417769685806,90.4340947732985,90.6545179070033,91.6454299444509,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Caribbean small states,CSS,..,88.4159289818663,96.2001948453372,96.6656867832991,97.0542900594117,97.0878277080481,97.3685903913769,97.9333626877032,98.174699090255,98.3064221501297,99.168477538461,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Central Europe and the Baltics,CEB,100,97.9262635329594,99.5384709863299,99.6459138297945,99.8736866830469,99.8763758983526,99.9480349626799,99.98058396497,99.9870121182289,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Early-demographic dividend,EAR,..,67.5004886155748,86.8271544642577,88.3494481253503,90.5086728796454,91.9927109222765,92.7976553013369,93.4557810564297,95.2423338887017,95.1575744950744,95.7044381043822,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,EAS,..,92.0618144338661,96.9500599621312,97.0343965831866,97.6915359289014,97.66096406877,97.8752558067352,97.7976209735392,98.1534259112018,98.2139294845074,98.4044880771224,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific (excluding high income),EAP,..,91.138144466845,96.621825072807,96.7165341917277,97.4453072983769,97.4123829747175,97.650096061791,97.5651849682476,97.9599209910295,98.0273720891056,98.2376383007189,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,91.1382617877496,97.3350470103173,97.4026392373466,98.1121893727336,98.0512297506321,98.2647901194399,98.1521712499121,98.5259377999818,98.5687468444318,98.7474424069608,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Euro area,EMU,100,99.9939024363854,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,ECS,100,99.1153070613535,99.1679175208408,99.8290047803703,99.9641328914888,99.9707916312359,99.9534668613782,99.9760354715535,99.9881972354746,99.9977335844549,100,..
